ID,Symbol,Compound_Name,Three letter code,MAP_denotion,IUPAC_Name,CXSMILES,,IUPAC_Name,Natural_Analog,Monomer_Type,Polymer_Type,R1,R2,R3,capped_SMILES,,,PubChem_CID,IUPAC_Condensed
15,2Abz,Anthranilic acid,ABN,{nnr:ABN},2-aminobenzoic acid,[*]Nc1ccccc1C([*])=O |$_R1;;;;;;;;;_R2;$|,,2-aminobenzoic acid,X,Backbone,PEPTIDE,H,OH,-,CNc1ccccc1C=O,,,227,H-2Abz-OH
16,Aib,alpha-methyl-alanine,AIB,{nnr:AIB},2-amino-2-methylpropanoic acid,CC(C)(N[*])C([*])=O |$;;;;_R1;;_R2;$|,,2-amino-2-methylpropanoic acid,X,Backbone,PEPTIDE,H,OH,-,CNC(C)(C)C=O,,,6119,H-Aib-OH
17,Aoc(2),6-ethyl-L-norleucine,AOC,{nnr:AOC},(2S)-2-aminooctanoic acid,CCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2S)-2-aminooctanoic acid,L,Backbone,PEPTIDE,H,OH,-,CCCCCC[C@@H](C=O)NC,,,1549365,H-Aoc(2)-OH
18,5-Ava,5-aminovaleric acid,AVA,{nnr:AVA},5-aminopentanoic acid,[*]NCCCCC([*])=O |$_R1;;;;;;;_R2;$|,,5-aminopentanoic acid,X,Backbone,PEPTIDE,H,OH,-,CNCCCCC=O,,,138,H-5-Ava-OH
19,Bal,beta-alanine,AAB,{nnr:AAB},3-aminopropanoic acid,[*]NCCC([*])=O |$_R1;;;;;_R2;$|,,3-aminopropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CNCCC=O,,,239,H-bAla-OH
20,Me_Bal,N-methyl-beta alanine,NAB,{nnr:NAB},3-(methylamino)propanoic acid,CN([*])CCC([*])=O |$;;_R1;;;;_R2;$|,,3-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN(C)CCC=O,,,75891,Me-bAla-OH
21,HOCOCH2_Bal,N-(carboxymethyl)-beta alanine,NCB,{nnr:NCB},3-(carboxymethylamino)propanoic acid,[*]N(CCC(=O)O)CC([*])=O |$_R1;;;;;;;;;_R2;$|,,3-(carboxymethylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CCC(=O)O,,,281622,HOCOCH2-bAla-OH
22,Cys(EtO2H)_NH2,N.D,DOS,{nnr:DOS},"2-[(2R)-2,3-diamino-3-oxopropyl]sulfanylacetic acid",[*]N[C@@H](CSCC([*])=O)C(N)=O |$_R1;;;;;;;_R2;;;;$|,,"2-[(2R)-2,3-diamino-3-oxopropyl]sulfanylacetic acid",C,Backbone,PEPTIDE,H,OH,-,CN[C@@H](CSCC=O)C(N)=O,,,21969402,H-Cys(EtO2H)-NH2
23,Cha,3-cyclohexyl-L-alanine,,{nnr:ZFH},(2S)-2-amino-3-cyclohexylpropanoic acid,[*]N[C@@H](CC1CCCCC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-cyclohexylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC1CCCCC1,,,712421,H-Cha-OH
24,dCha,3-cyclohexyl-D-alanine,,{nnr:ZPK},(2R)-2-amino-3-cyclohexylpropanoic acid,[*]N[C@H](CC1CCCCC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,(2R)-2-amino-3-cyclohexylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CC1CCCCC1,,,736026,H-D-Cha-OH
25,Me_Cha,N-methyl-3-cyclohexyl-L-alanine,,{nnr:C6Y},(2S)-3-cyclohexyl-2-(methylamino)propanoic acid,CN([*])[C@@H](CC1CCCCC1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,,(2S)-3-cyclohexyl-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CC1CCCCC1,,,41097900,Me-Cha-OH
26,D,Aspartic acid,,D,(2S)-2-aminobutanedioic acid,[*]N[C@@H](CC([*])=O)C([*])=O |$_R1;;;;;_R3;;;_R2;$|,,(2S)-2-aminobutanedioic acid,D,Backbone,PEPTIDE,H,OH,OH,CN[C@H](C=O)CC=O,,,5960,H-Asp-OH
27,meD,N-methyl-L-aspartic acid,,{nnr:PBJ},(2S)-2-(methylamino)butanedioic acid,CN([*])[C@@H](CC([*])=O)C([*])=O |$;;_R1;;;;_R3;;;_R2;$|,,(2S)-2-(methylamino)butanedioic acid,D,Backbone,PEPTIDE,H,OH,OH,CN(C)[C@H](C=O)CC=O,,,92982,Me-Asp-OH
28,Asp_piperidide,N.D,OPB,{nnr:OPB},(3S)-3-amino-4-oxo-4-piperidin-1-ylbutanoic acid,[*]N[C@@H](CC([*])=O)C(=O)N1CCCCC1 |$_R1;;;;;_R2;;;;;;;;;$|,,(3S)-3-amino-4-oxo-4-piperidin-1-ylbutanoic acid,D,Backbone,PEPTIDE,H,OH,-,CN[C@@H](CC=O)C(=O)N1CCCCC1,,,91615397,H-Asp-piperidide
29,Asp(OMe),O4-methyl-L-aspartic acid,,{nnr:XLU},(2S)-2-amino-4-methoxy-4-oxobutanoic acid,COC(=O)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-4-methoxy-4-oxobutanoic acid,D,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC(=O)OC,,,97368,H-Asp(OMe)-OH
30,Asp(Ph(2-NH2)),Kynurenine,KYN,{nnr:KYN},(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,[*]N[C@@H](CC(=O)c1ccccc1N)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,D,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC(=O)c1ccccc1N,,,161166,H-Asp(Ph(2-NH2))-OH
31,dAsp(pyrrol-1-yl),4-oxo-4-pyrrol-1-yl-D-homoalanine,O4P,{nnr:O4P},(2R)-2-amino-4-oxo-4-pyrrolidin-1-ylbutanoic acid,[*]N[C@H](CC(=O)N1CCCC1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,,(2R)-2-amino-4-oxo-4-pyrrolidin-1-ylbutanoic acid,D,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CC(=O)N1CCCC1,,,129370878,H-D-Asp(pyrrol-1-yl)-OH
32,E,Glutamic acid,,E,(2S)-2-aminopentanedioic acid,[*]N[C@@H](CCC([*])=O)C([*])=O |$_R1;;;;;;_R3;;;_R2;$|,,(2S)-2-aminopentanedioic acid,E,Backbone,PEPTIDE,H,OH,OH,CN[C@H](C=O)CCC=O,,,33032,H-Glu-OH
33,Glu_NH2,Isoglutamine,ISG,{nnr:ISG},"(4S)-4,5-diamino-5-oxopentanoic acid",[*]N[C@@H](CCC([*])=O)C(N)=O |$_R1;;;;;;_R2;;;;$|,,"(4S)-4,5-diamino-5-oxopentanoic acid",E,Backbone,PEPTIDE,H,OH,-,CN[C@@H](CCC=O)C(N)=O,,,445883,H-Glu-NH2
34,Glu(3R-Me),(3r)-3-methyl-L-glutamic acid,,{nnr:WKX},"(2S,3R)-2-amino-3-methylpentanedioic acid",C[C@H](CC(=O)O)[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,"(2S,3R)-2-amino-3-methylpentanedioic acid",E,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)[C@H](C)CC(=O)O,,,11412540,H-Glu(3R-Me)-OH
35,Glu(OMe),5-methyl-L-glutamate,,{nnr:1UB},(2S)-2-amino-5-methoxy-5-oxopentanoic acid,COC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-5-methoxy-5-oxopentanoic acid,E,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCC(=O)OC,,,68662,H-Glu(OMe)-OH
36,dGlu(OMe),5-methyl-D-glutamate,,{nnr:5DC},(2R)-2-amino-5-methoxy-5-oxopentanoic acid,COC(=O)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2R)-2-amino-5-methoxy-5-oxopentanoic acid,E,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CCC(=O)OC,,,111219,H-D-Glu(OMe)-OH
37,F,Phenylalanine,,F,(2S)-2-amino-3-phenylpropanoic acid,[*]N[C@@H](Cc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-phenylpropanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccccc1,,,6140,H-Phe-OH
38,dF,D-phenylalanine,,F{d},(2R)-2-amino-3-phenylpropanoic acid,[*]N[C@H](Cc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,(2R)-2-amino-3-phenylpropanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1ccccc1,,,71567,H-D-Phe-OH
39,meF,N-methyl-L-phenylalanine,,{nnr:N3S},(2S)-2-(methylamino)-3-phenylpropanoic acid,CN([*])[C@@H](Cc1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,,(2S)-2-(methylamino)-3-phenylpropanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1ccccc1,,,6951135,Me-Phe-OH
40,Me_dF,N-methyl-D-phenylalanine,,{nnr:NYY},(2R)-2-(methylamino)-3-phenylpropanoic acid,CN([*])[C@H](Cc1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,,(2R)-2-(methylamino)-3-phenylpropanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN(C)[C@@H](C=O)Cc1ccccc1,,,6427037,Me-D-Phe-OH
41,Phe(4-F),4-fluoro-L-phenylalanine,,{nnr:J7P},(2S)-2-amino-3-(4-fluorophenyl)propanoic acid,Fc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,,(2S)-2-amino-3-(4-fluorophenyl)propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(F)cc1,,,716312,H-Phe(4-F)-OH
42,dPhe(4-F),4-fluoro-D-phenylalanine,,{nnr:BSK},(2R)-2-amino-3-(4-fluorophenyl)propanoic acid,Fc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,,(2R)-2-amino-3-(4-fluorophenyl)propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1ccc(F)cc1,,,716314,H-D-Phe(4-F)-OH
