ID,Symbol,Compound_Name,Three letter code,MAP_denotion,IUPAC_Name,CXSMILES,,IUPAC_Name,Natural_Analog,Monomer_Type,Polymer_Type,R1,R2,R3,capped_SMILES,,,PubChem_CID,IUPAC_Condensed
72,GABA,4-aminobutyric acid,A4A,{nnr:A4A},4-aminobutanoic acid,[*]NCCCC([*])=O |$_R1;;;;;;_R2;$|,,4-aminobutanoic acid,X,Backbone,PEPTIDE,H,OH,-,CNCCCC=O,,,119,N.D
73,H,Histidine,,H,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,[*]N[C@@H](Cc1c[nH]cn1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,H,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1c[nH]cn1,,,6274,H-His-OH
74,Hph,Homophenylalanine,HMF,{nnr:HPE},(2S)-2-amino-4-phenylbutanoic acid,[*]N[C@@H](CCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-4-phenylbutanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCc1ccccc1,,,2724505,H-hPhe-OH
75,Me_Hph,N-methyl-L-homophenylalanine,NMF,{nnr:NMF},(2S)-2-(methylamino)-4-phenylbutanoic acid,CN([*])[C@@H](CCc1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,,(2S)-2-(methylamino)-4-phenylbutanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CCc1ccccc1,,,18645360,Me-hPhe-OH
76,bHph,beta-homophenylalanine,BHF,{nnr:BHF},(3S)-3-amino-4-phenylbutanoic acid,[*]N[C@H](CC([*])=O)Cc1ccccc1 |$_R1;;;;;_R2;;;;;;;;$|,,(3S)-3-amino-4-phenylbutanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](CC=O)Cc1ccccc1,,,2761537,H-beta-hPhe-OH
77,Hph(2-Cl),2-chloro-L-homophenylalanine,H2F,{nnr:H2F},(2S)-2-amino-4-(2-chlorophenyl)butanoic acid,[*]N[C@@H](CCc1ccccc1Cl)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-4-(2-chlorophenyl)butanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCc1ccccc1Cl,,,72208771,H-hPhe(2-Cl)-OH
78,Hph(3-Cl),3-chloro-L-homophenylalanine,H3F,{nnr:H3F},(2S)-2-amino-4-(3-chlorophenyl)butanoic acid,[*]N[C@@H](CCc1cccc(Cl)c1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-4-(3-chlorophenyl)butanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCc1cccc(Cl)c1,,,18391901,H-hPhe(3-Cl)-OH
79,Hph(4-Cl),4-chloro-L-homophenylalanine,H4F,{nnr:H4F},(2S)-2-amino-4-(4-chlorophenyl)butanoic acid,[*]N[C@@H](CCc1ccc(Cl)cc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-4-(4-chlorophenyl)butanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCc1ccc(Cl)cc1,,,10943829,H-hPhe(4-Cl)-OH
80,Hse(Et),O-ethyl-L-homoserine,OEH,{nnr:OEH},(2S)-2-amino-4-ethoxybutanoic acid,CCOCC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-4-ethoxybutanoic acid,S,Backbone,PEPTIDE,H,OH,-,CCOCC[C@@H](C=O)NC,,,176954,H-Hse(Et)-OH
81,dHyp,4-hydroxy-D-proline,,P{d}{ptm:4XH},"(2R,4S)-4-hydroxypyrrolidine-2-carboxylic acid",O[C@H]1C[C@@H](N([*])C1)C([*])=O |$;;;;;_R1;;;_R2;$|,,"(2R,4S)-4-hydroxypyrrolidine-2-carboxylic acid",P,Backbone,PEPTIDE,H,OH,-,CN1C[C@@H](O)C[C@@H]1C=O,,,440074,H-D-Hyp-OH
82,Hyp(Et),(4R)-4-(ethyloxy)-L-proline,,{nnr:ZFQ},"(2S,4R)-4-ethoxypyrrolidine-2-carboxylic acid",CCO[C@@H]1C[C@@H](C([*])=O)N([*])C1 |$;;;;;;;_R2;;;_R1;$|,,"(2S,4R)-4-ethoxypyrrolidine-2-carboxylic acid",P,Backbone,PEPTIDE,H,OH,-,CCO[C@@H]1C[C@@H](C=O)N(C)C1,,,45115929,H-Hyp(Et)-OH
83,I,Isoleucine,,I,"(2S,3S)-2-amino-3-methylpentanoic acid",CC[C@H](C)[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2S,3S)-2-amino-3-methylpentanoic acid",I,Backbone,PEPTIDE,H,OH,-,CC[C@H](C)[C@@H](C=O)NC,,,6306,H-Ile-OH
84,dI,D-isoleucine,,I{d},"(2R,3R)-2-amino-3-methylpentanoic acid",CC[C@@H](C)[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2R,3R)-2-amino-3-methylpentanoic acid",I,Backbone,PEPTIDE,H,OH,-,CC[C@@H](C)[C@H](C=O)NC,,,76551,H-D-Ile-OH
85,meI,N-methyl-L-isoleucine,,{nnr:IAX},"(2S,3S)-3-methyl-2-(methylamino)pentanoic acid",CC[C@H](C)[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,"(2S,3S)-3-methyl-2-(methylamino)pentanoic acid",I,Backbone,PEPTIDE,H,OH,-,CC[C@H](C)[C@@H](C=O)N(C)C,,,5288628,Me-Ile-OH
86,Me_dI,N-methyl-D-isoleucine,,{nnr:0IS},"(2R,3R)-3-methyl-2-(methylamino)pentanoic acid",CC[C@@H](C)[C@@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,"(2R,3R)-3-methyl-2-(methylamino)pentanoic acid",I,Backbone,PEPTIDE,H,OH,-,CC[C@@H](C)[C@H](C=O)N(C)C,,,40475367,Me-D-Ile-OH
87,(N->O)xiIle,N.D,NOX,{nnr:NOX},(2S)-2-hydroxy-3-methylpentanoic acid,CCC(C)[C@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-2-hydroxy-3-methylpentanoic acid,I,Backbone,PEPTIDE,H,OH,-,CCC(C)[C@@H](C=O)OC,,,9964099,N.D
88,d(N->O)aIle,D-alloisoleucic acid,DAL,{nnr:DAL},"(2R,3S)-2-hydroxy-3-methylpentanoic acid",CC[C@H](C)[C@@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2R,3S)-2-hydroxy-3-methylpentanoic acid",I,Backbone,PEPTIDE,H,OH,-,CC[C@H](C)[C@H](C=O)OC,,,10820562,N.D
89,K,Lysine,,K,"(2S)-2,6-diaminohexanoic acid",[*]N[C@@H](CCCCN[*])C([*])=O |$_R1;;;;;;;;_R3;;_R2;$|,,"(2S)-2,6-diaminohexanoic acid",K,Backbone,PEPTIDE,H,OH,H,CNCCCC[C@@H](C=O)NC,,,5962,H-Lys-OH
90,dK,D-lysine,,K{d},"(2R)-2,6-diaminohexanoic acid",[*]N[C@H](CCCCN[*])C([*])=O |$_R1;;;;;;;;_R3;;_R2;$|,,"(2R)-2,6-diaminohexanoic acid",K,Backbone,PEPTIDE,H,OH,H,CNCCCC[C@H](C=O)NC,,,57449,H-D-Lys-OH
91,meK,N-methyl-L-lysine,,{nnr:T8F},(2S)-6-amino-2-(methylamino)hexanoic acid,CN([*])[C@@H](CCCCN)C([*])=O |$;;_R1;;;;;;;;_R2;$|,,(2S)-6-amino-2-(methylamino)hexanoic acid,K,Backbone,PEPTIDE,H,OH,H,CN(C)[C@H](C=O)CCCCN,,,7010497,Me-Lys-OH
92,Me_dK,N-methyl-D-lysine,,{nnr:ZCV},(2R)-6-amino-2-(methylamino)hexanoic acid,CN([*])[C@H](CCCCN)C([*])=O |$;;_R1;;;;;;;;_R2;$|,,(2R)-6-amino-2-(methylamino)hexanoic acid,K,Backbone,PEPTIDE,H,OH,H,CN(C)[C@@H](C=O)CCCCN,,,25201204,Me-D-Lys-OH
93,Lys(Ac),N6-acetyl-L-lysine,,{nnr:KV7},(2S)-6-acetamido-2-aminohexanoic acid,CC(=O)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,,(2S)-6-acetamido-2-aminohexanoic acid,K,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCNC(C)=O,,,92832,H-Lys(Ac)-OH
94,Lys(Cbz),N6-benzyloxycarbonyl-L-lysine,,{nnr:Z1F},(2S)-2-amino-6-(phenylmethoxycarbonylamino)hexanoic acid,[*]N[C@@H](CCCCNC(=O)OCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-6-(phenylmethoxycarbonylamino)hexanoic acid,K,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCNC(=O)OCc1ccccc1,,,1715626,H-Lys(Cbz)-OH
95,Lys(iPr),N6-isopropyl-L-lysine,,{nnr:FB3},(2S)-2-amino-6-(propan-2-ylamino)hexanoic acid,CC(C)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-6-(propan-2-ylamino)hexanoic acid,K,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCNC(C)C,,,7010704,H-Lys(iPr)-OH
96,Lys(Me),N6-methyl-L-lysine,,{nnr:I4J},(2S)-2-amino-6-(methylamino)hexanoic acid,CNCCCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-6-(methylamino)hexanoic acid,K,Backbone,PEPTIDE,H,OH,-,CNCCCC[C@@H](C=O)NC,,,164795,H-Lys(Me)-OH
97,Me_Lys(Me),N-methyl-N6-methyl-L-lysine,,{nnr:YSF},"(2S)-2,6-bis(methylamino)hexanoic acid",CNCCCC[C@H](N(C)[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,"(2S)-2,6-bis(methylamino)hexanoic acid",K,Backbone,PEPTIDE,H,OH,-,CNCCCC[C@@H](C=O)N(C)C,,,25201466,Me-Lys(Me)-OH
98,Lys(Me2),"N6,N6-dimethyl-L-lysine",,{nnr:24C},(2S)-2-amino-6-(dimethylamino)hexanoic acid,CN(C)CCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-6-(dimethylamino)hexanoic acid,K,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCN(C)C,,,193344,H-Lys(Me2)-OH
99,Lys(Tfa),N6-trifluoroacetyl-L-lysine,,{nnr:OPV},"(2S)-2-amino-6-[(2,2,2-trifluoroacetyl)amino]hexanoic acid",[*]N[C@@H](CCCCNC(=O)C(F)(F)F)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,"(2S)-2-amino-6-[(2,2,2-trifluoroacetyl)amino]hexanoic acid",K,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCNC(=O)C(F)(F)F,,,7009573,H-Lys(Tfa)-OH
100,L,Leucine,,L,(2S)-2-amino-4-methylpentanoic acid,CC(C)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-2-amino-4-methylpentanoic acid,L,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC(C)C,,,6106,H-Leu-OH
101,dL,D-leucine,,L{d},(2R)-2-amino-4-methylpentanoic acid,CC(C)C[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2R)-2-amino-4-methylpentanoic acid,L,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CC(C)C,,,439524,H-D-Leu-OH
102,meL,N-methyl-L-leucine,,{nnr:9XD},(2S)-4-methyl-2-(methylamino)pentanoic acid,CC(C)C[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2S)-4-methyl-2-(methylamino)pentanoic acid,L,Backbone,PEPTIDE,H,OH,-,CC(C)C[C@@H](C=O)N(C)C,,,2777993,Me-Leu-OH
103,Me_dL,N-methyl-D-leucine,,{nnr:19I},(2R)-4-methyl-2-(methylamino)pentanoic acid,CC(C)C[C@@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2R)-4-methyl-2-(methylamino)pentanoic acid,L,Backbone,PEPTIDE,H,OH,-,CC(C)C[C@H](C=O)N(C)C,,,6951123,Me-D-Leu-OH
104,aMeLeu,2-methyl-L-leucine,,{nnr:J9M},"(2S)-2-amino-2,4-dimethylpentanoic acid",CC(C)C[C@](C)(N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,"(2S)-2-amino-2,4-dimethylpentanoic acid",L,Backbone,PEPTIDE,H,OH,-,CN[C@](C)(C=O)CC(C)C,,,446181,H-aMeLeu-OH
105,dLeu(3R-OH),(3R)-3-hydroxy-D-leucine,,{nnr:ZEY},"(2R,3R)-2-amino-3-hydroxy-4-methylpentanoic acid",CC(C)[C@@H](O[*])[C@@H](N[*])C([*])=O |$;;;;;_R3;;;_R1;;_R2;$|,,"(2R,3R)-2-amino-3-hydroxy-4-methylpentanoic acid",L,Backbone,PEPTIDE,H,OH,H,CN[C@@H](C=O)[C@H](OC)C(C)C,,,10942590,H-D-Leu(3R-OH)-OH
106,(N->O)Leu,Leucic acid,LEU,{nnr:LEU},(2S)-2-hydroxy-4-methylpentanoic acid,CC(C)C[C@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-2-hydroxy-4-methylpentanoic acid,L,Backbone,PEPTIDE,H,OH,-,CO[C@H](C=O)CC(C)C,,,83697,N.D
107,d(N->O)Leu,D-leucic acid,LDU,{nnr:LDU},(2R)-2-hydroxy-4-methylpentanoic acid,CC(C)C[C@@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2R)-2-hydroxy-4-methylpentanoic acid,L,Backbone,PEPTIDE,H,OH,-,CO[C@@H](C=O)CC(C)C,,,439960,N.D
108,M,Methionine,,M,(2S)-2-amino-4-methylsulfanylbutanoic acid,CSCC[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-2-amino-4-methylsulfanylbutanoic acid,M,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCSC,,,6137,H-Met-OH
109,meM,N-methyl-L-methionine,,{nnr:ZUH},(2S)-2-(methylamino)-4-methylsulfanylbutanoic acid,CSCC[C@@H](C([*])=O)N(C)[*] |$;;;;;;_R2;;;;_R1$|,,(2S)-2-(methylamino)-4-methylsulfanylbutanoic acid,M,Backbone,PEPTIDE,H,OH,-,CSCC[C@@H](C=O)N(C)C,,,6451891,Me-Met-OH
110,Met(O2),Methionine sulfone,,{nnr:97J},(2S)-2-amino-4-methylsulfonylbutanoic acid,CS(=O)(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-4-methylsulfonylbutanoic acid,M,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCS(C)(=O)=O,,,445282,H-Met(O2)-OH
111,N,Asparagine,,N,"(2S)-2,4-diamino-4-oxobutanoic acid",NC(=O)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2S)-2,4-diamino-4-oxobutanoic acid",N,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC(N)=O,,,6267,H-Asn-OH
112,dN,D-asparagine,,N{d},"(2R)-2,4-diamino-4-oxobutanoic acid",NC(=O)C[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2R)-2,4-diamino-4-oxobutanoic acid",N,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CC(N)=O,,,439600,H-D-Asn-OH
113,meN,N-methyl-L-asparagine,,{nnr:ZBJ},(2S)-4-amino-2-(methylamino)-4-oxobutanoic acid,CN([*])[C@@H](CC(N)=O)C([*])=O |$;;_R1;;;;;;;_R2;$|,,(2S)-4-amino-2-(methylamino)-4-oxobutanoic acid,N,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CC(N)=O,,,13205024,Me-Asn-OH
114,dAsn(Me2),"N4,N4-dimethyl-D-asparagine",,{nnr:46N},(2R)-2-amino-4-(dimethylamino)-4-oxobutanoic acid,CN(C)C(=O)C[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2R)-2-amino-4-(dimethylamino)-4-oxobutanoic acid,N,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CC(=O)N(C)C,,,101739211,H-D-Asn(Me2)-OH
115,Nal,3-(2-naphthyl)-L-alanine,2NA,{nnr:2NA},(2S)-2-amino-3-naphthalen-2-ylpropanoic acid,[*]N[C@@H](Cc1ccc2ccccc2c1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-naphthalen-2-ylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc2ccccc2c1,,,185915,H-2Nal-OH
116,1-Nal,3-(1-naphthyl)-L-alanine,3NA,{nnr:3NA},(2S)-2-amino-3-naphthalen-1-ylpropanoic acid,[*]N[C@@H](Cc1cccc2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-naphthalen-1-ylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1cccc2ccccc12,,,2724883,H-1Nal-OH
117,d1-Nal,3-(1-naphthyl)-D-alanine,DNA,{nnr:DNA},(2R)-2-amino-3-naphthalen-1-ylpropanoic acid,[*]N[C@H](Cc1cccc2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2R)-2-amino-3-naphthalen-1-ylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1cccc2ccccc12,,,6950505,H-D-1-Nal-OH
118,Nle,Norleucine,,{nnr:NLE},(2S)-2-aminohexanoic acid,CCCC[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-2-aminohexanoic acid,L,Backbone,PEPTIDE,H,OH,-,CCCC[C@@H](C=O)NC,,,21236,H-Nle-OH
119,Me_Nle,N-methyl-L-norleucine,MNL,{nnr:MNL},(2S)-2-(methylamino)hexanoic acid,CCCC[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2S)-2-(methylamino)hexanoic acid,L,Backbone,PEPTIDE,H,OH,-,CCCC[C@@H](C=O)N(C)C,,,7010351,Me-Nle-OH
120,Me_dNle,N-methyl-D-norleucine,MDL,{nnr:MDL},(2R)-2-(methylamino)hexanoic acid,CCCC[C@H](C([*])=O)N(C)[*] |$;;;;;;_R2;;;;_R1$|,,(2R)-2-(methylamino)hexanoic acid,L,Backbone,PEPTIDE,H,OH,-,CCCC[C@H](C=O)N(C)C,,,15677253,Me-D-Nle-OH
121,Nle(CHF2),6-(difluoromethyl)-L-norleucine,FNL,{nnr:FNL},"(2S)-2-amino-7,7-difluoroheptanoic acid",[*]N[C@@H](CCCCC(F)F)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,"(2S)-2-amino-7,7-difluoroheptanoic acid",L,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCC(F)F,,,102168895,H-Nle(CHF2)-OH
122,Nle(OH),6-hydroxy-L-norleucine,AA4,{nnr:LDO},(2S)-2-amino-6-hydroxyhexanoic acid,[*]N[C@@H](CCCCO)C([*])=O |$_R1;;;;;;;;;_R2;$|,,(2S)-2-amino-6-hydroxyhexanoic acid,L,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCCO,,,97725,H-Nle(OH)-OH
123,Nva,Norvaline,,{nnr:NVA},(2S)-2-aminopentanoic acid,CCC[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2S)-2-aminopentanoic acid,V,Backbone,PEPTIDE,H,OH,-,CCC[C@@H](C=O)NC,,,65098,H-Nva-OH
124,dNva,D-norvaline,,{nnr:DNV},(2R)-2-aminopentanoic acid,CCC[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2R)-2-aminopentanoic acid,V,Backbone,PEPTIDE,H,OH,-,CCC[C@H](C=O)NC,,,439575,H-D-Nva-OH
125,Me_Nva,N-methyl-L-norvaline,NLV,{nnr:NLV},(2S)-2-(methylamino)pentanoic acid,CCC[C@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-2-(methylamino)pentanoic acid,V,Backbone,PEPTIDE,H,OH,-,CCC[C@@H](C=O)N(C)C,,,7010353,Me-Nva-OH
126,Me_dNva,N-methyl-D-norvaline,NDV,{nnr:NDV},(2R)-2-(methylamino)pentanoic acid,CCC[C@@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2R)-2-(methylamino)pentanoic acid,V,Backbone,PEPTIDE,H,OH,-,CCC[C@H](C=O)N(C)C,,,15677248,Me-D-Nva-OH
127,Nva(Ph),5-phenyl-L-norvaline,N5V,{nnr:N5V},(2S)-2-amino-5-phenylpentanoic acid,[*]N[C@@H](CCCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-5-phenylpentanoic acid,V,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCc1ccccc1,,,2761813,H-Nva(Ph)-OH
128,Orn,Ornithine,ORN,K{ptm:ORN},"(2S)-2,5-diaminopentanoic acid",[*]N[C@@H](CCCN[*])C([*])=O |$_R1;;;;;;;_R3;;_R2;$|,,"(2S)-2,5-diaminopentanoic acid",K,Backbone,PEPTIDE,H,OH,H,CNCCC[C@@H](C=O)NC,,,6262,H-Orn-OH
129,P,Proline,,P,(2S)-pyrrolidine-2-carboxylic acid,[*]N1CCC[C@H]1C([*])=O |$_R1;;;;;;;_R2;$|,,(2S)-pyrrolidine-2-carboxylic acid,P,Backbone,PEPTIDE,H,OH,-,CN1CCC[C@H]1C=O,,,145742,H-Pro-OH
130,dP,D-proline,,P{d},(2R)-pyrrolidine-2-carboxylic acid,[*]N1CCC[C@@H]1C([*])=O |$_R1;;;;;;;_R2;$|,,(2R)-pyrrolidine-2-carboxylic acid,P,Backbone,PEPTIDE,H,OH,-,CN1CCC[C@@H]1C=O,,,8988,H-D-Pro-OH
131,3Pal,3-(3-pyridyl)-L-alanine,PY3,{nnr:0QU},(2S)-2-amino-3-pyridin-3-ylpropanoic acid,[*]N[C@@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-pyridin-3-ylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1cccnc1,,,152953,H-3Pal-OH
132,4Pal,3-(4-pyridyl)-L-alanine,PY4,{nnr:PY4},(2S)-2-amino-3-pyridin-4-ylpropanoic acid,[*]N[C@@H](Cc1ccncc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-pyridin-4-ylpropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccncc1,,,7009701,H-4Pal-OH
133,Phg,2-phenyl-L-glycine,,{nnr:Y2X},(2S)-2-amino-2-phenylacetic acid,[*]N[C@H](C([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,,(2S)-2-amino-2-phenylacetic acid,G,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)c1ccccc1,,,99291,H-Phg-OH
134,Pip,Pipecolic acid,PPC,{nnr:PPC},(2S)-piperidine-2-carboxylic acid,[*]N1CCCC[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,,(2S)-piperidine-2-carboxylic acid,X,Backbone,PEPTIDE,H,OH,-,CN1CCCC[C@H]1C=O,,,439227,H-Pip-OH
135,dPip,D-pipecolic acid,DPC,{nnr:DPC},(2R)-piperidine-2-carboxylic acid,[*]N1CCCC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,,(2R)-piperidine-2-carboxylic acid,X,Backbone,PEPTIDE,H,OH,-,CN1CCCC[C@@H]1C=O,,,736316,H-D-Pip-OH
136,Pye,"N,N-pyrrolidinyl glutamine",,{nnr:Z3I},(2S)-2-amino-5-oxo-5-pyrrolidin-1-ylpentanoic acid,[*]N[C@@H](CCC(=O)N1CCCC1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-5-oxo-5-pyrrolidin-1-ylpentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCC(=O)N1CCCC1,,,67154375,N.D
137,dPye,"D-N,N-pyrrolidinyl glutamine",,{nnr:6TK},(2R)-2-amino-5-oxo-5-pyrrolidin-1-ylpentanoic acid,[*]N[C@H](CCC(=O)N1CCCC1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2R)-2-amino-5-oxo-5-pyrrolidin-1-ylpentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CCC(=O)N1CCCC1,,,156188098,N.D
138,Q,Glutamine,,Q,"(2S)-2,5-diamino-5-oxopentanoic acid",NC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,"(2S)-2,5-diamino-5-oxopentanoic acid",Q,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCC(N)=O,,,5961,H-Gln-OH
139,meQ,N-methyl-L-glutamine,,{nnr:YWL},(2S)-5-amino-2-(methylamino)-5-oxopentanoic acid,CN([*])[C@@H](CCC(N)=O)C([*])=O |$;;_R1;;;;;;;;_R2;$|,,(2S)-5-amino-2-(methylamino)-5-oxopentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CCC(N)=O,,,160669,Me-Gln-OH
140,Gln(Me),N5-methyl-L-glutamine,,{nnr:1ZP},2-amino-5-(methylamino)-5-oxopentanoic acid,CNC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,2-amino-5-(methylamino)-5-oxopentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CNC(=O)CC[C@@H](C=O)NC,,,922,H-Gln(Me)-OH
141,Gln(Me2),"N5,N5-dimethyl-L-glutamine",,{nnr:WI3},(2S)-2-amino-5-(dimethylamino)-5-oxopentanoic acid,CN(C)C(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-5-(dimethylamino)-5-oxopentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCC(=O)N(C)C,,,12679610,H-Gln(Me2)-OH
142,dGln(Me2),"N5,N5-dimethyl-D-glutamine",,{nnr:WIS},(2R)-2-amino-5-(dimethylamino)-5-oxopentanoic acid,CN(C)C(=O)CC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2R)-2-amino-5-(dimethylamino)-5-oxopentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CCC(=O)N(C)C,,,N.D,H-D-Gln(Me2)-OH
143,Gln(Mes),N5-mesyl-L-glutamine,,{nnr:JV7},(2S)-2-amino-5-(methanesulfonamido)-5-oxopentanoic acid,CS(=O)(=O)NC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-5-(methanesulfonamido)-5-oxopentanoic acid,Q,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCC(=O)NS(C)(=O)=O,,,9964556,H-Gln(Mes)-OH
