,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1672,0.3140,0.4089,0.7391,0.8600,0.8464,0.2238,0.3586,0.4730,0.6409,0.8025,0.7602
DecisionTreeRegressor,0.2983,0.4145,0.5462,0.5345,0.7734,0.7608,0.2651,0.3934,0.5148,0.5746,0.7652,0.7184
RandomForestRegressor,0.1639,0.3121,0.4048,0.7443,0.8628,0.8490,0.2201,0.3569,0.4692,0.6468,0.8046,0.7588
GradientBoostingRegressor,0.1618,0.3076,0.4023,0.7475,0.8647,0.8514,0.2179,0.3574,0.4668,0.6503,0.8072,0.7601
AdaBoostRegressor,0.1809,0.3361,0.4254,0.7177,0.8504,0.8342,0.2434,0.3944,0.4933,0.6094,0.7842,0.7270
XGBRegressor,0.1879,0.3335,0.4334,0.7068,0.8425,0.8327,0.2344,0.3661,0.4842,0.6238,0.7917,0.7489
ExtraTreesRegressor,0.1658,0.3104,0.4071,0.7414,0.8611,0.8512,0.2127,0.3504,0.4612,0.6586,0.8120,0.7662
LinearRegression,0.1697,0.3262,0.4120,0.7352,0.8574,0.8503,0.2552,0.3969,0.5052,0.5904,0.7708,0.7295
KNeighborsRegressor,0.1903,0.3341,0.4363,0.7030,0.8406,0.8299,0.2194,0.3581,0.4684,0.6479,0.8093,0.7620
SVR,0.1599,0.3039,0.3999,0.7505,0.8665,0.8558,0.2069,0.3423,0.4548,0.6680,0.8179,0.7754
MLPRegressor,0.2857,0.4178,0.5345,0.5543,0.7606,0.7625,0.3878,0.4836,0.6228,0.3776,0.6500,0.6357
